Country;Currency;Technology;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Australia;USD (2022 prices and PPP);Other power and storage technologies;..;..;..;..;..;0;6,273;6,96;..;12,035;..;8,394;..;2,029;..;18,61;..;..;..;12,21;..;9,616;..;8,951;..;16,074;..;10,331;..;7,36;11,036;13,038;13,836;13,817;13,156;15,756;12,179;10,146;16,166;20,153;8,987;14,152;15,611;13,679;16,035;30,175;16,28;43,622;43,645;..
Australia;USD (2022 prices and PPP);Other cross-cutting technologies/research;..;..;..;..;..;0;11,769;15,712;..;13,937;..;0,538;..;0,778;..;3,166;..;..;..;23,471;..;31,612;..;24,848;..;12,3;..;24,186;..;37,647;150,391;92,691;104,911;122,048;120,091;9,528;10,461;7,094;12,862;7,856;0,184;1,851;2,147;2,073;1,877;14,277;26,873;37,803;47,232;..
Australia;USD (2022 prices and PPP);Unallocated;..;..;..;..;..;0;0;0;..;0;..;0;..;0;..;0;..;..;..;0;..;0;..;0;..;0;..;0;..;0;0;0;0;0;0;0;0;0;0;0;6,485;2,196;5,895;2,771;2,091;0;0;0;0;..
Australia;USD (2022 prices and PPP);Total Budget;..;..;..;..;..;67,961;134,795;160,352;..;232,447;..;145,704;..;118,339;..;148,2;..;..;..;163,528;..;165,653;..;217,502;..;185,343;..;194,978;..;178,954;359,009;254,552;277,584;307,182;305,952;423,25;428,75;500,448;655,719;804,576;260,096;236,094;141,803;163,973;186,784;235,582;177,263;262,656;392,019;..
Australia;Euro (2022 prices and exchange rates);Energy efficiency;..;..;..;..;..;0;17,318;20,421;..;30,871;..;18,871;..;10,083;..;10,511;..;..;..;9,774;..;19,656;..;13,889;..;12,699;..;17,013;..;15,758;55,182;34,666;31,457;34,091;39,828;35,927;115,648;83,601;60,548;59,585;24,688;24,617;17,79;22,485;25,702;35,086;22,973;33,252;38,814;..
Australia;Euro (2022 prices and exchange rates);Fossil fuels;..;..;..;..;..;45,563;66,547;76,584;..;106,771;..;73,842;..;62,998;..;70,231;..;..;..;99,283;..;85,151;..;155,496;..;120,039;..;117,624;..;96,713;61,455;57,932;67,33;71,021;65,586;274,151;196,37;221,42;333,871;271,398;129,42;53,837;35,079;54,298;55,656;51,875;36,85;33,076;91,561;..
Australia;Euro (2022 prices and exchange rates);Renewables;..;..;..;..;..;21,847;31,943;39,559;..;31,157;..;20,195;..;1,956;..;8,925;..;..;..;16,065;..;7,56;..;11,207;..;18,126;..;19,239;..;18,823;44,145;31,369;40,284;48,606;41,856;80,895;86,061;167,006;217,216;430,361;78,417;126,588;46,563;54,776;51,985;57,444;30,967;44,214;54,441;..
Australia;Euro (2022 prices and exchange rates);Nuclear;..;..;..;..;..;0;0;0;..;36,028;..;22,757;..;39,579;..;35,732;..;..;..;1,69;..;11,05;..;1,623;..;4,834;..;5,285;..;1,568;34,858;23,651;18,273;15,561;23,735;2,648;2,614;5,147;9,79;7,392;6,548;7,621;14,544;8,012;6,868;7,424;7,687;10,972;11,888;..
Australia;Euro (2022 prices and exchange rates);Hydrogen and fuel cells;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,34;0;0,208;0,652;0,303;1,122;2,127;2,121;0,191;1,542;3,387;3,468;3,218;4,701;25,219;37,754;34,546;58,249;102;..
Australia;Euro (2022 prices and exchange rates);Other power and storage technologies;..;..;..;..;..;0;6,222;6,904;..;11,938;..;8,326;..;2,013;..;18,459;..;..;..;12,111;..;9,538;..;8,879;..;15,944;..;10,248;..;7,3;10,947;12,932;13,724;13,705;13,049;15,629;12,081;10,064;16,035;19,99;8,915;14,037;15,484;13,569;15,905;29,931;16,148;43,269;43,292;..
Australia;Euro (2022 prices and exchange rates);Other cross-cutting technologies/research;..;..;..;..;..;0;11,674;15,585;..;13,824;..;0,534;..;0,771;..;3,141;..;..;..;23,281;..;31,356;..;24,647;..;12,2;..;23,99;..;37,342;149,173;91,941;104,061;121,059;119,118;9,451;10,376;7,037;12,758;7,793;0,183;1,836;2,13;2,056;1,862;14,161;26,656;37,497;46,85;..
Australia;Euro (2022 prices and exchange rates);Unallocated;..;..;..;..;..;0;0;0;..;0;..;0;..;0;..;0;..;..;..;0;..;0;..;0;..;0;..;0;..;0;0;0;0;0;0;0;0;0;0;0;6,432;2,178;5,847;2,749;2,074;0;0;0;0;..
Australia;Euro (2022 prices and exchange rates);Total Budget;..;..;..;..;..;67,41;133,703;159,053;..;230,565;..;144,524;..;117,381;..;147;..;..;..;162,204;..;164,312;..;215,741;..;183,842;..;193,399;..;177,505;356,101;252,491;275,336;304,694;303,474;419,822;425,278;496,395;650,409;798,06;257,989;234,182;140,655;162,645;185,271;233,674;175,827;260,529;388,845;..
Austria;National currency (nominal);Energy efficiency;..;..;..;5,543;6,498;6,251;8,519;7,594;9,307;7,437;11,442;10,324;9,534;6,861;9,338;4,666;4,484;5,607;4,865;7,465;9,449;8,772;8,946;8,518;6,841;7,629;7,153;9,149;7,919;5,066;9,825;9,809;9,989;7,68;23,531;37,434;55,678;63,699;55,4;55,562;61,738;56,957;66,321;65,747;66,865;74,92;76,768;95,976;107,771;..
